*****ा**्*ा*	UNK
**्*ु*्**ै*	UNK
*ु*्*ी*्*ा*	UNK
**ं*ं*ि*	JJ
*े*ूं	VAUX.XC.UNK.VM.NN
ः***्*्**	UNK
*ा*्*्*ें*	NN
*ो*े*्**ी	NN.NNP
*्**ा*़*ा	UNK
**ू*ि	NN
**ू*ा	XC.UNK.NN.JJ.VM
*ु*्**ं*ि*ों	NN
**ि*ं*़्*	UNK
*ु***्*ी	UNK.JJ.NN.NNP
*ो**ो*	JJ.NN
**ो***्**्*ा*ो*ों	UNK
*ं*़ो*े*ि*ा	UNK
*ा*्*ो*्**	JJ
*ु*ा*ी**ा	UNK
*ा*ा**ि*ों	NN
*ा**ं*़	UNK
**्*ुं*	JJ.NN
**ि*****्*्*्*्********्*्*्*्**ि*ों	UNK
**ा*ी*	NN.XC.VM.JJ.UNK.NNP
*्*ं***ा*ा	UNK
*ि*़ी	UNK
*ों**ो*्*	UNK
**ा*्*ि*	UNK.JJ
****ि*ों	UNK.NN
*ि*ो*ि**	UNK
*े*ूँ	NN
*ो*्**ा*्*	NN
*्*ा***ा*ं	UNK
*ं****़ें*	UNK
*़**ि*ों	UNK
**ू*़	UNK
***ो*े*्*ि*	UNK
**ि*ा*ि*ी	UNK.NN.JJ
*े*ी*़ो*	UNK
*्***ि*ि	NN
*ा**ा*्*ों	NN
**ि*ा*ि*ा	NN
*ौ**ि*ों	UNK.NN
*ं*ा*्**	JJ
***्***़*	UNK
*ु*ा**ो*	UNK
*्*ु**	UNK.NN
*ो**ें	UNK.NN
*्*ि*्**ी*	JJ
*ौं*ा***्**्***	UNK
*ि**ा***ा	UNK
*्*ा*े**ि*	UNK
*्*ा*े*्*्*	NNP
*ं*े*ं**	UNK
*्**्*ा*	UNK.JJ.NN
*ा*़ीः	UNK
*ू****ी*े	UNK
*ी*ा**ि*ा*्**ा	UNK
*्*ा*ां**ि*	UNK.JJ
*ु**्*ा***	NN
*्*े*्*्*ि*्*ं*	UNK
*ि*ा*े*ी	UNK
*ृ**्***	NN
*्**्**ू*्*	UNK.NN
*ा*्*ा**ा*ु	UNK
*़्*ा**ी	UNK
*ि*ा***े*ि*ी	UNK
***्*्*ें	UNK
*ो*ु**	NN
*ु*ा*ी**ी	UNK
**्*्**ा*	UNK.JJ.NN
**ी****ी*	UNK
****़्*	UNK
*ो**ा**ां*	UNK
*ु***्*ा	XC.UNK.NN
**ू*े	XC.VM.NN.JJ.QF
*्*ो**ा	UNK
*्*ा***ा*े	UNK
**ू*ी	NN.VM.DEM.PRP.JJ.UNK.NNP
*ि*ं*्*****ा*े*ा	UNK
*्**्*्**ी*्*	UNK
*ि*्***ी*़	UNK
**े*ा***	UNK
*ि*****्*्*्*्**ु*ं	UNK
**ु*्**्*	UNK.NN.JJ
**्*ा*ो*्**्*ि	NN
**ि*्*	UNK.JJ.NN.NNP
*ू***्*ी	UNK.JJ.NN
**ा*़्*	UNK
*ु**	RDP.NN.XC.VM.JJ.QF.UNK.NNP
*ै*ि*ा*	UNK
*ुं*ा*ी	UNK.JJ
*ृ*्****	NN
*ु*ं*ि*े	JJ
*ु*ं*ि*ी	JJ
**ें*्*े	UNK
*ु*ा**ि	UNK
*ू*ी*ा*़ा	UNK
*्***्*ं*	NN
*ु**िं**ों	NN
**्*ु*े*	NN
**्***ि**्*	UNK
**्**ि**्**	NN
*ू*्*ो*ा***	UNK
*ै**ो**्*ि*	UNK
*ु*्***ा*्**्*	JJ
*ो*ी*ि*ा	UNK.NNP
*ू*े*ि***ू*े*ि***ू*े*ि*	UNK
*ृ*ि**ी*	UNK
*ें**ं**ा*	UNK
*ु*ं**ों	NN
*ै**िं**	NN
*ं*ि*ा*ु	UNK
*ं*ि*ा*ी	UNK
*ं*ि*ा*े	JJ
*्******	UNK
*्**ो*्*	UNK.JJ.NN
*ू*ी*ु*	UNK
*ं*्****े	UNK
*े*ा**ो*ा	UNK
*्*ौ*ा*	NN
*ु*्*ी*	XC.UNK.NN.JJ
*्**्*्*ि**ा	UNK
**्****्*ी*	JJ
**्*ो*ि*े*ृ	UNK
*ं****ा*	UNK
***़ा*ो*़	UNK
****्***ों	UNK
*ा*ि*्**	UNK.JJ
*ी****ा**ा*	UNK
*ै**ै*े	UNK
*े*ि**ा*ि*	UNK
*ै*्*ा*्*ा*ै*ा	UNK
**ि**्**ा	NN
*ू*ि*	NNP.UNK.JJ.NN.VM
*ा*ू***्***्*ा	UNK
*ि*****्**	UNK
*े**्*ि*ें*	UNK
*ा***ु*ा*ी	UNK
*्*ी*ृ*	JJ
**े*ा*ु*ा*	NN
*्*ा*्***	XC
*ा***़	UNK.NN
*ं*्****ा	UNK
*ि*्***ा*ं	UNK
*े***ो*ी	JJ
*्**ि*ि*ि*	JJ
***ि*ा*्*	NN.JJ
**़ि*ा*	UNK
*ं*ि*ा*ा	XC.NN
*ं*ा*ि*े**	UNK
**ु*ी**	XC.NN
*ं*ि*ा*ं	UNK.NN
*ौ*ि*ि*ा	NN
*ं*ो**्*	JJ
*्*ी*ें	UNK.NN
*्***ु*ा*ि*	UNK
**्*ा*ु*ा**	NN
*ि*ा**ि*्*े*ों	UNK
*ै********ी*	UNK
*ु*़्**ि*	UNK
*ु*ं*ि*ा	JJ
*ी**ि*्*ा*ी	NN
